나이,지역,직업경력,경력년수,참여형식,플랫폼 실적,마케터 파워지수,등급,age,career,plat,region,parti
30대,전체,"도매,자동차,플라스틱",13~14년,전업,R7,74.0,A등급,37,13,92393,20,12.0
40대,서울,"기타,제조업,건물",1~2년,전업,R6,74.0,A등급,47,1,47191,14,12.0
30대,전체,"운송업,육류",13~14년,전업,R7,74.0,A등급,34,13,67026,20,12.0
40대,서울,"운송업,플라스틱,건설업",7~8년,전업,R6,74.0,A등급,44,7,18662,14,12.0
40대,서울,"전기,운송업,기계",3~4년,전업,R6,74.0,A등급,47,3,46189,14,12.0
30대,서울,"기타,서비스업,건물",13~14년,전업,R7,74.0,A등급,34,13,68379,14,12.0
40대,서울,"전기,플라스틱,소프트웨어",1~2년,전업,R6,74.0,A등급,41,1,48442,14,12.0
40대,서울,"도매,자동차,의료",7~8년,전업,R6,74.0,A등급,44,7,39460,14,12.0
30대,서울,"제조업,건물",19년 이상,전업,R7,74.0,A등급,33,28,59308,14,12.0
30대,전체,"통신,플라스틱,서비스업",15~16년,전업,R7,74.0,A등급,36,15,51732,20,12.0
30대,전체,"자동차,금속,건물",11~12년,전업,R7,74.0,A등급,32,11,78509,20,12.0
30대,전체,"금속,기타,육류",17~18년,전업,R7,74.0,A등급,32,17,91274,20,12.0
40대,서울,"전기,제품,개발,소프트웨어",15~16년,전업,R6,74.0,A등급,45,15,29943,14,12.0
30대,서울,"기타,화물,건물",3~4년,전업,R7,74.0,A등급,38,3,67841,14,12.0
40대,서울,"제품,개발,건물,의료",11~12년,전업,R6,74.0,A등급,46,11,16383,14,12.0
40대,전체,"화물,기계",3~4년,전업,R6,74.0,A등급,43,3,48015,20,12.0
40대,전체,"제조업,기계",19년 이상,전업,R6,74.0,A등급,45,19,46049,20,12.0
30대,서울,"통신,자동차,소프트웨어",7~8년,전업,R7,74.0,A등급,34,7,91599,14,12.0
40대,전체,"의료,제품,개발,가공",19년 이상,전업,R6,74.0,A등급,44,28,20358,20,12.0
20대,서울,"도매,화물,가공",17~18년,전업,R7,72.5,A등급,23,17,86602,14,12.0
20대,전체,"건물,화물,기계",17~18년,전업,R7,72.5,A등급,21,17,97667,20,12.0
20대,서울,"통신,제품,개발,의료",11~12년,전업,R7,72.5,A등급,28,11,65314,14,12.0
20대,서울,"도매,운송업,가공",19년 이상,전업,R7,72.5,A등급,27,25,75320,14,12.0
50대,전체,"전기,자동차,금속",17~18년,전업,R6,72.5,A등급,53,17,22014,20,12.0
20대,전체,"기타,의료",9~10년,전업,R7,72.5,A등급,21,9,92850,20,12.0
50대,전체,"통신,건설업,가공",13~14년,전업,R6,72.5,A등급,57,13,47181,20,12.0
20대,서울,"운송업,건물",11~12년,전업,R7,72.5,A등급,22,11,88209,14,12.0
50대,서울,"운송업,제품,개발,소프트웨어",19년 이상,전업,R6,72.5,A등급,58,26,27351,14,12.0
20대,서울,"전기,제품,개발,기계",3~4년,전업,R7,72.5,A등급,23,3,96964,14,12.0
20대,서울,"통신,제조업,소프트웨어",9~10년,전업,R7,72.5,A등급,21,9,52993,14,12.0
20대,전체,"통신,자동차,화물",7~8년,전업,R7,72.5,A등급,20,7,69052,20,12.0
50대,서울,"통신,서비스업,가공",15~16년,전업,R6,72.5,A등급,50,15,27873,14,12.0
20대,서울,"통신,육류",9~10년,전업,R7,72.5,A등급,22,9,74626,14,12.0
50대,전체,"도매,제품,개발,소프트웨어",11~12년,전업,R6,72.5,A등급,51,11,26733,20,12.0
50대,전체,"도매,운송업,전기",3~4년,전업,R6,72.5,A등급,56,3,25976,20,12.0
50대,전체,"도매,운송업,기계",17~18년,전업,R6,72.5,A등급,54,17,15513,20,12.0
50대,서울,"운송업,플라스틱,건설업",19년 이상,전업,R6,72.5,A등급,52,24,36311,14,12.0
50대,서울,"도매,금속,의료",17~18년,전업,R6,72.5,A등급,50,17,12357,14,12.0
20대,서울,"운송업,플라스틱,건설업",17~18년,전업,R7,72.5,A등급,24,17,90419,14,12.0
20대,서울,"운송업,서비스업,소프트웨어",7~8년,전업,R7,72.5,A등급,21,7,72834,14,12.0
50대,전체,"자동차,제품,개발,화물",7~8년,전업,R6,72.5,A등급,50,7,17859,20,12.0
20대,서울,"금속,통신,기계",15~16년,전업,R7,72.5,A등급,24,15,85424,14,12.0
50대,전체,"전기,건물,소프트웨어",7~8년,전업,R6,72.5,A등급,52,7,47197,20,12.0
50대,전체,"육류,기계,소프트웨어",19년 이상,전업,R6,72.5,A등급,58,21,42145,20,12.0
50대,전체,"전기,금속",19년 이상,전업,R6,72.5,A등급,53,21,23064,20,12.0
50대,서울,"금속,자동차,건물",1~2년,전업,R6,72.5,A등급,50,1,20032,14,12.0
20대,전체,"금속,플라스틱,의료",11~12년,전업,R7,72.5,A등급,23,11,86965,20,12.0
20대,전체,"화물,건설업,가공",9~10년,전업,R7,72.5,A등급,26,9,72218,20,12.0
20대,전체,"건물,제조업,건설업",17~18년,전업,R7,72.5,A등급,27,17,59299,20,12.0
30대,서울,"금속,서비스업,건설업",5~6년,전업,R6,71.0,A등급,31,5,44484,14,12.0
60대,서울,"도매,서비스업,건설업",11~12년,전업,R7,71.0,A등급,65,11,83380,14,12.0
60대,전체,"건설업,건물,소프트웨어",3~4년,전업,R7,71.0,A등급,64,3,82510,20,12.0
40대,전체,"플라스틱,제조업,의료",11~12년,부업,R7,71.0,A등급,46,11,68854,20,6.0
60대,서울,"통신,서비스업,화물",9~10년,전업,R7,71.0,A등급,63,9,78172,14,12.0
60대,서울,"금속,제품,개발,의료",17~18년,전업,R7,71.0,A등급,64,17,94357,14,12.0
40대,서울,"플라스틱,화물,건설업",5~6년,부업,R7,71.0,A등급,47,5,68669,14,6.0
60대,전체,"화물,기계,소프트웨어",17~18년,전업,R7,71.0,A등급,64,17,97507,20,12.0
60대,전체,"제조업,기계,화물",3~4년,전업,R7,71.0,A등급,65,3,78051,20,12.0
40대,경기,"통신,플라스틱,기타",9~10년,전업,R7,71.0,A등급,40,9,53803,14,12.0
30대,전체,"통신,기타,기계",13~14년,전업,R6,71.0,A등급,33,13,30782,20,12.0
60대,전체,"자동차,제품,개발,화물",5~6년,전업,R7,71.0,A등급,67,5,58064,20,12.0
40대,전체,"서비스업,기계,의료",19년 이상,전업,R5,71.0,A등급,45,21,8904,20,12.0
30대,서울,"전기,금속,가공",1~2년,전업,R6,71.0,A등급,34,1,33153,14,12.0
30대,서울,"기타,화물,육류",3~4년,전업,R6,71.0,A등급,32,3,35943,14,12.0
30대,서울,"통신,자동차,소프트웨어",7~8년,전업,R6,71.0,A등급,36,7,34402,14,12.0
30대,서울,"도매,자동차,서비스업",17~18년,전업,R6,71.0,A등급,37,17,20971,14,12.0
60대,서울,"도매,육류,가공",9~10년,전업,R7,71.0,A등급,65,9,97167,14,12.0
40대,전체,"육류,건물",19년 이상,부업,R7,71.0,A등급,48,25,77791,20,6.0
40대,서울,"전기,통신,건물",19년 이상,부업,R7,71.0,A등급,48,28,60927,14,6.0
40대,서울,"자동차,가공,의료",7~8년,부업,R7,71.0,A등급,48,7,57221,14,6.0
30대,전체,"자동차,금속,서비스업",15~16년,전업,R6,71.0,A등급,31,15,35304,20,12.0
30대,서울,"제조업,서비스업,육류",19년 이상,전업,R6,71.0,A등급,32,21,37367,14,12.0
40대,서울,"통신,육류,가공",13~14년,부업,R7,71.0,A등급,43,13,93436,14,6.0
30대,서울,"자동차,서비스업,가공",5~6년,전업,R6,71.0,A등급,37,5,26332,14,12.0
30대,전체,"전기,자동차,통신",1~2년,전업,R6,71.0,A등급,34,1,40320,20,12.0
60대,전체,"육류,제조업,건물",17~18년,전업,R7,71.0,A등급,64,17,84544,20,12.0
40대,서울,"도매,화물,의료",9~10년,전업,R5,71.0,A등급,43,9,8402,14,12.0
40대,전체,"운송업,통신,건설업",9~10년,부업,R7,71.0,A등급,46,9,98459,20,6.0
40대,서울,"운송업,제조업,의료",17~18년,부업,R7,71.0,A등급,40,17,52938,14,6.0
30대,전체,"제조업,기계,의료",15~16년,전업,R6,71.0,A등급,30,15,39618,20,12.0
40대,서울,"운송업,건물,가공",7~8년,전업,R5,71.0,A등급,42,7,6921,14,12.0
30대,전체,"통신,플라스틱,기계",7~8년,전업,R6,71.0,A등급,34,7,45724,20,12.0
40대,경기,"자동차,기타,소프트웨어",3~4년,전업,R7,71.0,A등급,40,3,96531,14,12.0
40대,경기,"제품,개발,화물,의료",5~6년,전업,R7,71.0,A등급,48,5,74261,14,12.0
60대,서울,"전기,금속,건물",9~10년,전업,R7,71.0,A등급,66,9,60729,14,12.0
30대,서울,"기계,건설업",13~14년,전업,R6,71.0,A등급,31,13,32099,14,12.0
40대,전체,"통신,제조업,서비스업",9~10년,전업,R5,71.0,A등급,40,9,5585,20,12.0
60대,서울,"자동차,플라스틱,기계",5~6년,전업,R7,71.0,A등급,60,5,68063,14,12.0
60대,전체,"통신,화물",11~12년,전업,R7,71.0,A등급,68,11,99978,20,12.0
40대,서울,"기타,제조업,의료",17~18년,전업,R5,71.0,A등급,45,17,5398,14,12.0
30대,전체,"소프트웨어,서비스업,가공",17~18년,전업,R6,71.0,A등급,34,17,41603,20,12.0
30대,전체,"건설업,육류,건물",7~8년,전업,R6,71.0,A등급,34,7,26895,20,12.0
40대,전체,"전기,의료,소프트웨어",11~12년,부업,R7,71.0,A등급,45,11,88816,20,6.0
40대,경기,"운송업,플라스틱,금속",13~14년,전업,R7,71.0,A등급,42,13,94263,14,12.0
40대,전체,"통신,플라스틱,제조업",3~4년,전업,R5,71.0,A등급,41,3,7631,20,12.0
60대,전체,"금속,의료",9~10년,전업,R7,71.0,A등급,60,9,55918,20,12.0
30대,서울,"건물,가공",13~14년,전업,R6,71.0,A등급,31,13,14157,14,12.0
40대,경기,"통신,제품,개발",17~18년,전업,R7,71.0,A등급,42,17,66649,14,12.0
40대,서울,"운송업,금속,소프트웨어",1~2년,전업,R5,71.0,A등급,44,1,8763,14,12.0
30대,전체,"육류,화물,건설업",11~12년,전업,R6,71.0,A등급,30,11,43875,20,12.0
40대,전체,"도매,운송업,서비스업",13~14년,부업,R7,71.0,A등급,43,13,61449,20,6.0
40대,전체,"금속,건설업,가공",3~4년,부업,R7,71.0,A등급,40,3,68792,20,6.0
30대,전체,"도매,화물,기계",13~14년,전업,R6,71.0,A등급,35,13,21163,20,12.0
40대,전체,"제품,개발,제조업,기계",17~18년,전업,R5,71.0,A등급,45,17,9768,20,12.0
40대,경기,"서비스업,의료",17~18년,전업,R7,71.0,A등급,48,17,95510,14,12.0
40대,전체,"가공,서비스업,의료",9~10년,전업,R5,71.0,A등급,41,9,5420,20,12.0
30대,전체,"금속,플라스틱,건설업",7~8년,전업,R6,71.0,A등급,32,7,37707,20,12.0
40대,서울,"운송업,기타,소프트웨어",11~12년,전업,R5,71.0,A등급,46,11,5395,14,12.0
30대,전체,"통신,기타",1~2년,전업,R6,71.0,A등급,33,1,41466,20,12.0
40대,경기,"운송업,건설업,기계",11~12년,전업,R7,71.0,A등급,48,11,96812,14,12.0
40대,전체,"기타,플라스틱,건물",1~2년,전업,R5,71.0,A등급,44,1,9811,20,12.0
40대,서울,"운송업,화물,건설업",7~8년,전업,R5,71.0,A등급,48,7,6040,14,12.0
30대,전체,"자동차,화물,소프트웨어",15~16년,전업,R6,71.0,A등급,36,15,41445,20,12.0
40대,전체,"건물,육류,가공",9~10년,전업,R5,71.0,A등급,45,9,9826,20,12.0
40대,전체,"제품,개발,기계",15~16년,전업,R5,71.0,A등급,40,15,5220,20,12.0
40대,서울,"기타,제조업,소프트웨어",9~10년,전업,R5,71.0,A등급,45,9,5276,14,12.0
40대,전체,"플라스틱,제조업,가공",19년 이상,전업,R5,71.0,A등급,46,29,5296,20,12.0
40대,서울,"자동차,플라스틱,건설업",19년 이상,전업,R5,71.0,A등급,41,29,8897,14,12.0
40대,전체,"제품,개발,화물,건설업",19년 이상,부업,R7,71.0,A등급,41,20,61177,20,6.0
50대,서울,"운송업,플라스틱,화물",1~2년,전업,R5,69.5,A등급,57,1,7078,14,12.0
50대,경기,"운송업,건설업",17~18년,전업,R7,69.5,A등급,57,17,68639,14,12.0
50대,서울,"플라스틱,제조업,육류",13~14년,전업,R5,69.5,A등급,52,13,8263,14,12.0
20대,서울,"운송업,기계,육류",5~6년,전업,R6,69.5,A등급,23,5,10376,14,12.0
20대,전체,"의료,플라스틱,소프트웨어",3~4년,전업,R6,69.5,A등급,21,3,10675,20,12.0
20대,서울,"도매,육류,기계",5~6년,전업,R6,69.5,A등급,25,5,31245,14,12.0
50대,전체,"건물,화물,기계",5~6년,부업,R7,69.5,A등급,58,5,84366,20,6.0
50대,서울,"전기,화물,건설업",13~14년,전업,R5,69.5,A등급,52,13,9892,14,12.0
50대,서울,"자동차,플라스틱,육류",5~6년,부업,R7,69.5,A등급,56,5,54101,14,6.0
20대,서울,"전기,기계",11~12년,전업,R6,69.5,A등급,20,11,13948,14,12.0
50대,전체,"제조업,육류,소프트웨어",13~14년,부업,R7,69.5,A등급,52,13,52239,20,6.0
20대,서울,"제조업,육류",3~4년,전업,R6,69.5,A등급,21,3,41987,14,12.0
50대,전체,"서비스업,기계",15~16년,부업,R7,69.5,A등급,56,15,94516,20,6.0
50대,서울,"자동차,서비스업,건설업",9~10년,전업,R5,69.5,A등급,51,9,5562,14,12.0
50대,경기,"플라스틱,기계,의료",19년 이상,전업,R7,69.5,A등급,53,23,93142,14,12.0
50대,서울,"제품,개발,기타,소프트웨어",11~12년,전업,R5,69.5,A등급,55,11,8707,14,12.0
50대,전체,"화물,서비스업,건설업",5~6년,부업,R7,69.5,A등급,55,5,70986,20,6.0
50대,전체,"기계,육류,가공",19년 이상,부업,R7,69.5,A등급,55,25,87231,20,6.0
20대,서울,"소프트웨어,서비스업,가공",3~4년,전업,R6,69.5,A등급,26,3,32025,14,12.0
50대,전체,"전기,건물,가공",5~6년,전업,R5,69.5,A등급,52,5,5510,20,12.0
50대,서울,"운송업,금속,가공",13~14년,부업,R7,69.5,A등급,51,13,69075,14,6.0
50대,전체,"전기,제품,개발,제조업",3~4년,전업,R5,69.5,A등급,50,3,9143,20,12.0
50대,전체,"운송업,제품,개발",13~14년,부업,R7,69.5,A등급,56,13,63178,20,6.0
50대,전체,"플라스틱,제품,개발,의료",5~6년,부업,R7,69.5,A등급,52,5,76587,20,6.0
50대,서울,"금속,제품,개발,서비스업",15~16년,전업,R5,69.5,A등급,58,15,8225,14,12.0
20대,서울,"기계,소프트웨어",15~16년,전업,R6,69.5,A등급,27,15,17956,14,12.0
20대,서울,"소프트웨어,서비스업,의료",9~10년,전업,R6,69.5,A등급,24,9,40400,14,12.0
50대,전체,"운송업,서비스업,건설업",13~14년,부업,R7,69.5,A등급,50,13,73263,20,6.0
50대,서울,"운송업,플라스틱,제조업",7~8년,전업,R5,69.5,A등급,52,7,7179,14,12.0
20대,전체,"운송업,자동차,가공",13~14년,전업,R6,69.5,A등급,27,13,27897,20,12.0
50대,전체,"운송업,자동차,제품,개발",5~6년,부업,R7,69.5,A등급,54,5,98239,20,6.0
50대,서울,"서비스업,건설업,가공",9~10년,전업,R5,69.5,A등급,58,9,8630,14,12.0
50대,경기,"도매,플라스틱,건물",5~6년,전업,R7,69.5,A등급,53,5,69724,14,12.0
50대,서울,"의료,화물,가공",3~4년,전업,R5,69.5,A등급,58,3,5190,14,12.0
20대,서울,"통신,건설업,소프트웨어",15~16년,전업,R6,69.5,A등급,25,15,22487,14,12.0
20대,서울,"전기,제조업,건물",19년 이상,전업,R6,69.5,A등급,25,27,36278,14,12.0
20대,서울,"운송업,금속,기타",3~4년,전업,R6,69.5,A등급,28,3,13054,14,12.0
50대,서울,"도매,건물,육류",5~6년,전업,R5,69.5,A등급,57,5,6492,14,12.0
50대,서울,"플라스틱,기계",7~8년,부업,R7,69.5,A등급,56,7,88424,14,6.0
50대,경기,"제조업,화물,기계",19년 이상,전업,R7,69.5,A등급,57,26,78426,14,12.0
50대,전체,"운송업,플라스틱,육류",15~16년,전업,R5,69.5,A등급,56,15,5824,20,12.0
50대,전체,"운송업,제조업",7~8년,부업,R7,69.5,A등급,58,7,97971,20,6.0
50대,경기,"통신,플라스틱,가공",17~18년,전업,R7,69.5,A등급,55,17,63177,14,12.0
20대,전체,"전기,금속,화물",5~6년,전업,R6,69.5,A등급,24,5,32538,20,12.0
50대,경기,"서비스업,육류,가공",5~6년,전업,R7,69.5,A등급,50,5,66248,14,12.0
50대,서울,"도매,금속,서비스업",7~8년,부업,R7,69.5,A등급,53,7,68766,14,6.0
20대,전체,"도매,기타,건설업",9~10년,전업,R6,69.5,A등급,22,9,22818,20,12.0
50대,서울,"통신,금속,기타",5~6년,전업,R5,69.5,A등급,51,5,7199,14,12.0
60대,서울,"운송업,통신,제조업",17~18년,전업,R6,68.0,A등급,67,17,14180,14,12.0
40대,전체,"소프트웨어,플라스틱,가공",13~14년,전업,R4-2,68.0,A등급,41,13,2004,20,12.0
30대,전체,"서비스업,의료",7~8년,부업,R7,68.0,A등급,32,7,76225,20,6.0
60대,전체,"건물,기계,도매",19년 이상,전업,R6,68.0,A등급,65,27,26743,20,12.0
40대,경기,"제품,개발,화물,기계",1~2년,전업,R6,68.0,A등급,45,1,22355,14,12.0
40대,서울,"통신,기타,기계",19년 이상,전업,R4-2,68.0,A등급,47,20,2176,14,12.0
40대,전체,"도매,건설업,가공",15~16년,부업,R6,68.0,A등급,40,15,21732,20,6.0
40대,서울,"통신,제조업,기계",19년 이상,전업,R4-2,68.0,A등급,45,27,4550,14,12.0
30대,전체,"제조업,육류,화물",17~18년,부업,R7,68.0,A등급,32,17,77443,20,6.0
30대,전체,"제조업,서비스업,육류",19년 이상,부업,R7,68.0,A등급,36,25,90587,20,6.0
60대,서울,"플라스틱,가공,의료",9~10년,전업,R6,68.0,A등급,61,9,26470,14,12.0
30대,경기,"자동차,제조업,가공",15~16년,전업,R7,68.0,A등급,36,15,62044,14,12.0
40대,전체,"운송업,기타,소프트웨어",7~8년,부업,R6,68.0,A등급,43,7,28064,20,6.0
30대,서울,"도매,제조업,건설업",7~8년,부업,R7,68.0,A등급,33,7,83477,14,6.0
60대,서울,"기타,화물,가공",11~12년,전업,R6,68.0,A등급,63,11,11729,14,12.0
40대,전체,"전기,자동차,서비스업",17~18년,부업,R6,68.0,A등급,43,17,39369,20,6.0
40대,서울,"전기,건물,도매",11~12년,부업,R6,68.0,A등급,40,11,42080,14,6.0
60대,전체,"플라스틱,기계,가공",11~12년,전업,R6,68.0,A등급,62,11,44659,20,12.0
70대,서울,"도매,제조업,육류",7~8년,전업,R7,68.0,A등급,86,7,87985,14,12.0
40대,서울,"제조업,기계,소프트웨어",5~6년,부업,R6,68.0,A등급,44,5,39863,14,6.0
60대,전체,"의료,화물,가공",3~4년,전업,R6,68.0,A등급,64,3,46642,20,12.0
60대,서울,"전기,서비스업,건물",5~6년,전업,R6,68.0,A등급,66,5,10138,14,12.0
60대,전체,"운송업,기계,건물",13~14년,전업,R6,68.0,A등급,62,13,12975,20,12.0
30대,전체,"도매,통신,기계",7~8년,전업,R5,68.0,A등급,32,7,6185,20,12.0
30대,전체,"의료,도매,가공",11~12년,전업,R5,68.0,A등급,33,11,7338,20,12.0
30대,경기,"운송업,금속,건물",7~8년,전업,R7,68.0,A등급,37,7,72696,14,12.0
30대,전체,"전기,통신,소프트웨어",9~10년,전업,R5,68.0,A등급,32,9,6341,20,12.0
70대,전체,"도매,통신,플라스틱",3~4년,전업,R7,68.0,A등급,75,3,76644,20,12.0
60대,전체,"자동차,기계,건물",1~2년,전업,R6,68.0,A등급,67,1,39706,20,12.0
60대,전체,"소프트웨어,통신,가공",13~14년,전업,R6,68.0,A등급,63,13,28535,20,12.0
70대,전체,"도매,건설업,의료",9~10년,전업,R7,68.0,A등급,82,9,55446,20,12.0
40대,전체,"운송업,서비스업,소프트웨어",3~4년,전업,R4-2,68.0,A등급,42,3,3633,20,12.0
40대,서울,"운송업,기계",5~6년,전업,R4-2,68.0,A등급,42,5,3774,14,12.0
30대,서울,"전기,제품,개발,기계",9~10년,부업,R7,68.0,A등급,33,9,60050,14,6.0
70대,전체,"플라스틱,기계",9~10년,전업,R7,68.0,A등급,89,9,81120,20,12.0
60대,전체,"기타,서비스업,육류",1~2년,전업,R6,68.0,A등급,62,1,47346,20,12.0
60대,서울,"자동차,기타,화물",17~18년,전업,R6,68.0,A등급,68,17,35492,14,12.0
30대,경기,"제품,개발,의료",19년 이상,전업,R7,68.0,A등급,35,28,66131,14,12.0
30대,전체,"통신,제조업,건설업",13~14년,전업,R5,68.0,A등급,33,13,6170,20,12.0
30대,전체,"도매,운송업,의료",17~18년,전업,R5,68.0,A등급,31,17,7810,20,12.0
30대,서울,"통신,자동차,의료",1~2년,전업,R5,68.0,A등급,36,1,8357,14,12.0
30대,전체,"기타,플라스틱,건설업",17~18년,전업,R5,68.0,A등급,34,17,7764,20,12.0
70대,전체,"도매,기타,서비스업",15~16년,전업,R7,68.0,A등급,81,15,54578,20,12.0
40대,서울,"도매,화물,가공",17~18년,전업,R4-2,68.0,A등급,45,17,4636,14,12.0
70대,전체,"자동차,금속,의료",13~14년,전업,R7,68.0,A등급,74,13,65825,20,12.0
40대,전체,"도매,통신,가공",17~18년,전업,R4-2,68.0,A등급,42,17,1092,20,12.0
70대,전체,"기타,건설업,의료",9~10년,전업,R7,68.0,A등급,70,9,88799,20,12.0
40대,서울,"전기,통신,제품,개발",11~12년,부업,R6,68.0,A등급,42,11,42631,14,6.0
30대,서울,"자동차,소프트웨어",3~4년,부업,R7,68.0,A등급,34,3,73472,14,6.0
70대,서울,"운송업,화물,의료",3~4년,전업,R7,68.0,A등급,78,3,87431,14,12.0
40대,전체,"도매,제품,개발",7~8년,부업,R6,68.0,A등급,45,7,43732,20,6.0
60대,전체,"플라스틱,화물,의료",7~8년,전업,R6,68.0,A등급,68,7,15135,20,12.0
70대,전체,"기계,플라스틱,육류",3~4년,전업,R7,68.0,A등급,83,3,70359,20,12.0
70대,전체,"금속,자동차,서비스업",3~4년,전업,R7,68.0,A등급,76,3,75631,20,12.0
30대,경기,"건설업,자동차,기계",11~12년,전업,R7,68.0,A등급,35,11,85347,14,12.0
70대,서울,"전기,육류,소프트웨어",5~6년,전업,R7,68.0,A등급,72,5,85797,14,12.0
40대,전체,"자동차,기계,소프트웨어",13~14년,전업,R4-2,68.0,A등급,48,13,2320,20,12.0
40대,전체,"운송업,기타,기계",15~16년,전업,R4-2,68.0,A등급,41,15,3522,20,12.0
30대,경기,"도매,운송업,자동차",15~16년,전업,R7,68.0,A등급,37,15,69106,14,12.0
40대,전체,"전기,통신",1~2년,전업,R4-2,68.0,A등급,47,1,4775,20,12.0
70대,전체,"화물,서비스업,소프트웨어",9~10년,전업,R7,68.0,A등급,74,9,82463,20,12.0
60대,서울,"전기,건설업,의료",13~14년,전업,R6,68.0,A등급,67,13,17076,14,12.0
60대,서울,"자동차,제품,개발,건물",19년 이상,전업,R6,68.0,A등급,67,26,15455,14,12.0
30대,서울,"플라스틱,기계,의료",5~6년,전업,R5,68.0,A등급,35,5,8588,14,12.0
40대,서울,"운송업,제품,개발,기타",17~18년,전업,R4-2,68.0,A등급,46,17,3798,14,12.0
70대,전체,"의료,육류,소프트웨어",5~6년,전업,R7,68.0,A등급,70,5,78435,20,12.0
40대,서울,"통신,제품,개발,가공",19년 이상,부업,R6,68.0,A등급,40,29,42999,14,6.0
30대,서울,"도매,가공,의료",13~14년,부업,R7,68.0,A등급,33,13,54371,14,6.0
70대,서울,"자동차,서비스업",7~8년,전업,R7,68.0,A등급,79,7,80065,14,12.0
30대,경기,"자동차,플라스틱,건물",17~18년,전업,R7,68.0,A등급,38,17,86167,14,12.0
70대,서울,"플라스틱,서비스업,육류",19년 이상,전업,R7,68.0,A등급,88,29,80508,14,12.0
40대,전체,"기계,제조업,건설업",11~12년,부업,R6,68.0,A등급,45,11,35322,20,6.0
30대,전체,"소프트웨어,운송업,의료",7~8년,전업,R5,68.0,A등급,33,7,6569,20,12.0
70대,전체,"기계,플라스틱,육류",5~6년,전업,R7,68.0,A등급,86,5,59658,20,12.0
30대,전체,"제품,개발,제조업,의료",19년 이상,부업,R7,68.0,A등급,30,20,67465,20,6.0
60대,전체,"화물,의료",9~10년,전업,R6,68.0,A등급,66,9,13957,20,12.0
60대,서울,"건설업,서비스업,건물",13~14년,전업,R6,68.0,A등급,61,13,34796,14,12.0
70대,전체,"금속,기타,건물",9~10년,전업,R7,68.0,A등급,83,9,55850,20,12.0
60대,전체,"소프트웨어,건설업,의료",5~6년,전업,R6,68.0,A등급,67,5,45298,20,12.0
30대,서울,"자동차,통신,기계",17~18년,전업,R5,68.0,A등급,32,17,8245,14,12.0
40대,경기,"플라스틱,건물",17~18년,전업,R6,68.0,A등급,42,17,18639,14,12.0
20대,서울,"제품,개발,화물,건설업",19년 이상,전업,R5,66.5,A등급,22,27,5461,14,12.0
50대,전체,"자동차,육류,의료",13~14년,전업,R4-2,66.5,A등급,54,13,3615,20,12.0
20대,전체,"제품,개발,건물,의료",19년 이상,부업,R7,66.5,A등급,21,22,63582,20,6.0
20대,전체,"의료,기계,가공",3~4년,부업,R7,66.5,A등급,27,3,76891,20,6.0
50대,서울,"전기,제품,개발,화물",7~8년,부업,R6,66.5,A등급,50,7,34423,14,6.0
